Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Procedure*,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,1,2023-10-16T04:35:42+00:00,8.718985080719,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,,,,,,0,Instruct,User,5,"In this section, you will be presented with a series of words. Please study each word carefully. Your memory will be tested! Click next to continue.",Initial_Instruct,Instruct1,,8606,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,2,2023-10-16T04:36:10+00:00,27.559970855713,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,,,,,,0,Instruct,User,5,"After studying each set of words, you will be asked to rate your ability to remember all of the words on a later test. You will make these ratings using a scale of 0 to 100. A rating of 0 = WILL NOT REMEMBER, while a rating of 100 = WILL DEFINITELY REMEMBER. Please try to be as accurate as possible with these ratings!",,,,27394,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,3,2023-10-16T04:36:12+00:00,1.8520691394806,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,,,,,,0,Instruct,User,-,"You will now begin the study. Click next when you are ready to begin.",,Instruct16,,1691,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,4,2023-10-16T04:36:15+00:00,3.3091549873352,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Canyon,Canyon,R1,Related,3,2,Study,User,-,,Unrelated,U1,,3152,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,5,2023-10-16T04:36:17+00:00,2.2523829936981,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Volcano,Volcano,R1,Related,4,4,Study,User,-,,Unrelated,U1,,2101,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,6,2023-10-16T04:36:20+00:00,3.1463649272919,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Valley,Valley,R1,Related,1,6,Study,User,-,,Unrelated,U1,,2994,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,7,2023-10-16T04:36:26+00:00,5.2915461063385,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Lake,Lake,R1,Related,10,13,Study,User,-,,Unrelated,U1,,5131,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,8,2023-10-16T04:36:30+00:00,4.5419759750366,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Ocean,Ocean,R1,Related,8,7,Study,User,-,,Unrelated,U1,,4391,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,9,2023-10-16T04:36:34+00:00,3.8375179767609,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,River,River,R1,Related,2,11,Study,User,-,,Unrelated,U1,,3682,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,10,2023-10-16T04:36:43+00:00,8.8598260879517,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Hill,Hill,R1,Related,6,8,Study,User,-,,Unrelated,U1,,8704,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,11,2023-10-16T04:36:46+00:00,3.1657068729401,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Mountain,Mountain,R1,Related,7,3,Study,User,-,,Unrelated,U1,,2984,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,12,2023-10-16T04:36:50+00:00,3.7962319850922,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Glacier,Glacier,R1,Related,12,5,Study,User,-,,Unrelated,U1,,3640,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,13,2023-10-16T04:37:01+00:00,10.63259100914,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Island,Island,R1,Related,9,10,Study,User,-,,Unrelated,U1,,10471,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,14,2023-10-16T04:37:05+00:00,4.1958270072937,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Rock,Rock,R1,Related,5,12,Study,User,-,,Unrelated,U1,,4040,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,15,2023-10-16T04:37:08+00:00,3.0323190689087,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Cave,Cave,R1,Related,11,9,Study,User,-,,Unrelated,U1,,2878,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,16,2023-10-16T04:37:09+00:00,1.6723818778992,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,,,,,,0,Instruct,User,-,"You have completed this section. Please click next to continue.",,Next_List1,,1516,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,17,2023-10-16T04:37:18+00:00,8.5898380279541,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,,,,,,0,JOL_GLOBAL,User,2.5,"How likely are you to correctly recall each of the items you just studied?|Type your response on a scale from 0-100 and then press Enter (0 = WILL NOT REMEMBER; 100 = DEFINITELY WILL REMEMBER).",Unrelated,JOL2,,8433,,,7268,7378,,,,90,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,18,2023-10-16T04:37:28+00:00,9.9650449752808,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,,,,,,0,Instruct,User,2.5,"You will now be presented with a new study list. Click next when you are ready to begin.",,NEXT_LIST,,9807,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,19,2023-10-16T04:37:31+00:00,3.4232571125031,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Guitar,Guitar,U1,Unrelated,19,20,Study,User,-,,Related,R1,,3264,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,20,2023-10-16T04:37:34+00:00,2.2195470333099,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Student,Student,U1,Unrelated,15,19,Study,User,-,,Related,R1,,2069,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,21,2023-10-16T04:37:37+00:00,3.6753489971161,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Rifle,Rifle,U1,Unrelated,13,17,Study,User,-,,Related,R1,,3523,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,22,2023-10-16T04:37:42+00:00,4.7898640632629,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Jeep,Jeep,U1,Unrelated,23,23,Study,User,-,,Related,R1,,4638,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,23,2023-10-16T04:37:45+00:00,2.9712858200073,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Ballet,Ballet,U1,Unrelated,24,22,Study,User,-,,Related,R1,,2815,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,24,2023-10-16T04:37:47+00:00,1.7639470100403,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Dollar,Dollar,U1,Unrelated,20,14,Study,User,-,,Related,R1,,1611,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,25,2023-10-16T04:37:49+00:00,2.1846590042114,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Mayor,Mayor,U1,Unrelated,14,25,Study,User,-,,Related,R1,,2033,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,26,2023-10-16T04:37:52+00:00,3.0544810295105,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Milk,Milk,U1,Unrelated,22,16,Study,User,-,,Related,R1,,2903,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,27,2023-10-16T04:37:57+00:00,4.8541629314423,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Hockey,Hockey,U1,Unrelated,16,18,Study,User,-,,Related,R1,,4705,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,28,2023-10-16T04:38:03+00:00,5.6650900840759,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Oxygen,Oxygen,U1,Unrelated,18,21,Study,User,-,,Related,R1,,5510,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,29,2023-10-16T04:38:07+00:00,4.8324100971222,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Parrot,Parrot,U1,Unrelated,21,15,Study,User,-,,Related,R1,,4679,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,30,2023-10-16T04:38:11+00:00,3.4571249485016,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Pants,Pants,U1,Unrelated,17,24,Study,User,-,,Related,R1,,3304,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,31,2023-10-16T04:38:12+00:00,1.3077690601349,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,,,,,,0,Instruct,User,-,"You have completed this section. Please click next to continue.",,Next_List1,,1155,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,32,2023-10-16T04:38:16+00:00,4.1363658905029,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,,,,,,0,JOL_GLOBAL,User,2.5,"How likely are you to correctly recall each of the items you just studied?|Type your response on a scale from 0-100 and then press Enter (0 = WILL NOT REMEMBER; 100 = DEFINITELY WILL REMEMBER).",Related,JOL1,,3984,,,1804,1833,,,,90,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,33,2023-10-16T04:38:19+00:00,3.0538520812988,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,,,,,,0,Instruct,User,2.5,"You will now be presented with a new study list. Click next when you are ready to begin.",,NEXT_LIST,,2893,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,34,2023-10-16T04:38:25+00:00,5.3086438179016,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Goat,Goat,R2,Related,30,29,Study,User,-,,Unrelated,U2,,5146,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,35,2023-10-16T04:38:30+00:00,5.540164232254,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Bear,Bear,R2,Related,35,26,Study,User,-,,Unrelated,U2,,5378,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,36,2023-10-16T04:38:32+00:00,2.2431399822235,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Donkey,Donkey,R2,Related,34,32,Study,User,-,,Unrelated,U2,,2085,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,37,2023-10-16T04:38:35+00:00,2.2090129852295,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Cat,Cat,R2,Related,33,31,Study,User,-,,Unrelated,U2,,2054,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,38,2023-10-16T04:38:39+00:00,4.3027110099792,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Tiger,Tiger,R2,Related,25,28,Study,User,-,,Unrelated,U2,,4147,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,39,2023-10-16T04:38:43+00:00,4.4476668834686,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Girraffe,Girraffe,R2,Related,31,33,Study,User,-,,Unrelated,U2,,4286,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,40,2023-10-16T04:38:49+00:00,5.3403270244598,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Wolf,Wolf,R2,Related,29,37,Study,User,-,,Unrelated,U2,,5173,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,41,2023-10-16T04:38:51+00:00,1.9908120632172,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Elephant,Elephant,R2,Related,32,36,Study,User,-,,Unrelated,U2,,1836,,,-1,-1,,,,,1
M20330660_MLM,dc08dbptje,"DRM Reactivity 1_MSU",1,42,2023-10-16T04:38:54+00:00,2.821986913681,3,Stim_A.csv,G_JOL_B.csv,"Global C",Global,Lion,Lion,R2,Related,26,34,Study,User,-,,Unrelated,U2,,2655,,,-1,-1,,,,,1
